Simulacao gerada em 2014-11-16 22:08:49.817000

Grafo UK12:

	a) Sementes utilizadas: [1, 11]
		Vertice			Label		Pi			Lambda
			218		Mc Carran Intl                	254			0.1582
			219		Drake Field                   	181			0.0901
			220		Raleigh-Durham Intll          	211			0.0164
			221		Mc Ghee Tyson                 	254			0.0208
			222		Asheville Regional            	254			0.0196
			223		Meadows Field                 	260			0.1794
			224		Will Rogers World             	254			0.0691
			225		Fort Smith Regional           	260			0.0917
			226		Kinston Regional Jetport At St	229			0.0292
			227		San Luis Obispo County-Mc Ches	200			0.2213
			228		Amarillo Intl                 	260			0.0971
			229		Charlotte/Douglas Intl        	248			0.0122
			230		Flagstaff Pulliam             	257			0.1569
			231		Memphis Intl                  	254			0.0313
			232		Albuquerque Intl              	254			0.1138
			233		Lovell Field                  	254			0.0139
			234		Fayetteville Regional/Grannis 	229			0.023
			235		Santa Maria Pub/Capt G Allan H	227			0.2246
			236		Greenville-Spartanburg        	254			0.0165
			237		Albert J Ellis                	229			0.0296
			238		Adams Field                   	254			0.041
			239		Huntsville Intl-Carl T Jones F	254			0.0152
			240		Lawton Muni                   	260			0.0821
			241		Santa Barbara Muni            	244			0.1808
			242		New Hanover Intll             	229			0.0301
			243		Oxnard                        	247			0.1778
			244		Burbank-Glendale-Pasadena     	245			0.173
			245		Ontario Intl                  	254			0.1689
			246		Sheppard Afb/Wichita Falls Mun	260			0.0774
			247		Los Angeles Intl              	254			0.173
			248		Columbia Metropolitan         	None			0
			249		Palm Springs Regional         	257			0.1637
			250		Long Beach /Daugherty Field/  	257			0.1719
			251		Myrtle Beach Intl             	229			0.0301
			252		John Wayne Airport-Orange Coun	254			0.1703
			253		Lubbock Intl                  	260			0.0901
			254		The William B Hartsfield Atlan	None			0
			255		Birmingham Intl               	254			0.0118
			256		Texarkana Regional-Webb Field 	260			0.081
			257		Phoenix Sky Harbor Intl       	254			0.1405
			258		Bush Field                    	None			0
			259		Charleston Afb/Intl           	248			0.0113
			260		Dallas/Fort Worth Intl        	254			0.0646
			261		Dallas Love Field             	238			0.0707
			262		San Diego Intl-Lindbergh Fld  	254			0.167
			263		Yuma Mcas/Yuma Intl           	257			0.1556
			264		Columbus Metropolitan         	254			0.0111
			265		Monroe Regional               	254			0.0403
			266		Shreveport Regional           	254			0.0493
			267		Abilene Regional              	260			0.0789
			268		Gregg County                  	260			0.0773
			269		Tyler Pounds Field            	260			0.0743
			270		Jackson Intll                 	254			0.0315
			271		Dannelly Field                	254			0.0163
			272		Savannah Intll                	258			0.0125
			273		Tucson Intl                   	260			0.1358
			274		Midland Intll                 	260			0.0924
			275		El Paso Intl                  	254			0.1132
			276		Waco Regional                 	260			0.0768
			277		Alexandria Esler Regional     	260			0.0926
			278		Mathis Field                  	260			0.0875
			279		Killeen Muni                  	260			0.0822
			280		Mobile Regional               	254			0.0342
			281		Easterwood Field              	260			0.0869
			282		Baton Rouge Metropolitan, Ryan	254			0.0453
			283		Jacksonville Intl             	272			0.0283
			284		Eglin Afb                     	231			0.0783
			285		Pensacola Regional            	254			0.0334
			286		Tallahassee Regional          	254			0.031
			287		Robert Mueller Muni           	254			0.0748
			288		Panama City-Bay Co Intl       	254			0.0334
			289		Lafayette Regional            	292			0.0829
			290		Lake Charles Regional         	260			0.0974
			291		New Orleans Intl/Moisant Fld/ 	254			0.0458
			292		Houston Intercontinental      	254			0.0657
			293		Jefferson County              	260			0.0966
			294		Gainesville Regional          	254			0.0394
			295		William P Hobby               	254			0.0672
			296		San Antonio Intl              	254			0.0816
			297		Daytona Beach Intl            	283			0.0413
			298		Orlando Intl                  	272			0.0478
			299		Melbourne Intll               	283			0.0518
			300		Tampa Intl                    	254			0.0551
			301		St Petersburg/Clearwater Intl 	309			0.093
			302		Corpus Christi Intl           	295			0.0884
			303		Laredo Intl                   	260			0.1172
			304		Sarasota/Bradenton Intl       	298			0.0596
			305		Palm Beach Intl               	298			0.0656
			306		Southwest Florida Intl        	298			0.066
			307		Rio Grande Valley Intl        	295			0.1021
			308		Mc Allen Miller Intl          	292			0.105
			309		Fort Lauderdale/Hollywood Intl	298			0.0712
			310		Miami Intl                    	298			0.0735
			311		Lihue                         	312			0.402
			312		Honolulu Intl                 	254			0.3924
			313		Molokai                       	312			0.3969
			314		Kapalua                       	312			0.3996
			315		Kahului                       	314			0.4009
			316		Lanai                         	312			0.3995
			317		Keahole-Kona Intll            	247			0.4079
			318		Hilo Intll                    	317			0.413
			319		Rafael Hernandez              	310			0.1703
			320		Luis Munoz Marin Intl         	298			0.171
			321		Cyril E King                  	272			0.1681
			322		Eugenio Maria De Hostos       	320			0.1771
			323		Mercedita                     	310			0.1756
			324		Alexander Hamilton            	272			0.1737
			325		Johnston Atoll                	312			0.466
			326		Saipan Intl                   	328			0.7098
			327		Rota Intl                     	328			0.7005
			328		Guam Intll                    	312			0.6935
			329		Babelthuap/Koror              	328			0.7719
			330		Pago Pago Intl                	247			0.7056
			331		West Tinian						326			0.7111
